dt,description,wind_speed,humidity,temperature,pressure
1551726218,Rain,4,80,4,994
1551731330,Clouds,4,80,4,994
1551734153,Rain,5,100,4,994
1551735821,Rain,6,100,4,993
1551738525,Rain,6,80,4,993
1551739426,Rain,6,80,4,993
1551740314,Clouds,7,80,4,993
1551740926,Clouds,7,80,4,993
1551776507,Rain,8,75,6,993
1551777418,Rain,8,75,7,993
1551778308,Rain,8,70,7,993
1551779187,Rain,8,70,7,993
1551780031,Clouds,9,70,7,993
1551780923,Clouds,9,70,8,993
1551781712,Clouds,9,70,8,993
1551782738,Clouds,8,65,8,993
1551783530,Clouds,8,65,8,993
1551784541,Clouds,7,70,8,994
1551785460,Rain,8,61,9,994
1551786212,Rain,8,61,9,994
1551787266,Rain,9,66,10,995
1551788172,Rain,9,66,9,995
1551789065,Clouds,8,61,9,995
1551789973,Clouds,8,61,10,995
1551790869,Clouds,7,57,10,995
1551791629,Clouds,7,57,10,995
1551795226,Rain,8,57,10,995
1551795817,Rain,7,57,10,995
1551796431,Rain,7,57,10,995
1551797925,Rain,7,61,10,995
1551798812,Clouds,7,61,10,995
1551799424,Clouds,6,57,10,995
1551800319,Clouds,6,57,10,995
1551801214,Clouds,6,57,9,995
1551802412,Clouds,7,53,9,995
1551803327,Rain,7,53,9,995
1551803505,Rain,6,57,9,995
1551805120,Rain,6,57,9,995
1551805713,Rain,5,61,9,994
1551806619,Clouds,5,61,9,994
1551807216,Clouds,4,66,9,994
1551808000,Clouds,5,61,8,994
1551808920,Clouds,5,61,8,994
1551809807,Clouds,2,61,8,994
1551810692,Clouds,2,61,8,994
1551811615,Clouds,4,70,8,993
1551812505,Clouds,4,70,8,993
1551821022,Rain,7,93,7,990
1551825051,Rain,7,93,7,988
1551825982,Rain,7,93,7,988
1551827017,Rain,7,100,7,987
1551873819,Rain,5,93,7,978
1551875028,Rain,5,87,7,979
1551875927,Rain,5,87,7,979
1551878915,Rain,5,87,6,979
1551888217,Clouds,9,70,7,979
1551889117,Clouds,9,70,7,979
1551890022,Rain,10,75,7,979
1551891223,Rain,10,75,7,979
1551891822,Rain,9,81,7,980
1551892729,Rain,9,81,7,980
1551893631,Rain,9,81,7,980
1551894522,Rain,9,81,7,980
1551895432,Rain,9,75,7,980
1551896317,Rain,9,75,7,980
1551897214,Rain,6,87,6,981
1551898429,Rain,6,87,6,981
1551899024,Rain,9,75,6,981
1551899924,Clouds,9,75,6,981
1551905179,Rain,7,80,5,982
1551906239,Clouds,7,80,5,982
1551907130,Clouds,7,80,5,982
1551909833,Rain,6,80,5,983
1551911026,Rain,6,80,5,983
1551911926,Rain,6,80,5,983
1551949967,Rain,13,86,5,987
1551950632,Rain,13,86,5,987
1551951517,Rain,13,86,5,987
1551956027,Rain,12,81,7,988
1551957172,Rain,13,75,7,989
1551957817,Rain,13,75,7,989
1551959571,Rain,12,75,7,990
1551965914,Rain,12,66,8,993
1551966533,Clouds,12,66,9,993
1551967123,Rain,11,66,9,993
1551967966,Rain,11,66,9,993
1551968325,Rain,11,66,9,993
1551968917,Clouds,11,70,9,994
1551969531,Rain,11,70,9,994
1551970114,Rain,11,70,9,994
1551971024,Rain,12,66,10,995
1551971330,Rain,12,66,10,995
1551971926,Rain,12,66,9,995
1551972831,Rain,13,75,9,996
1551973421,Rain,13,75,9,996
1551973734,Rain,13,75,9,996
1551974498,Rain,9,81,9,997
1551974914,Rain,9,81,9,997
1551975818,Rain,9,81,9,997
1551976127,Rain,9,81,8,997
1551976723,Rain,10,70,8,997
1551977633,Rain,10,70,8,997
1551978183,Rain,10,70,8,997
1552332831,Rain,10,81,7,1011
1552334022,Rain,10,75,7,1010
1552336416,Rain,9,81,8,1009
1552337932,Rain,10,81,8,1008
1552339870,Rain,10,76,9,1007
1552341217,Rain,11,81,9,1006
1552343477,Rain,11,81,9,1005
1552345306,Rain,9,87,9,1004
1552347173,Rain,10,81,10,1002
1552348721,Rain,10,81,10,1001
1552350820,Rain,11,76,11,1000
1552352323,Rain,11,81,11,999
1552354417,Rain,11,81,10,998
1552356064,Rain,12,87,9,997
1552358014,Rain,11,87,6,999
1552359828,Rain,8,93,6,1000
1552361629,Rain,9,87,6,1000
1552363432,Rain,7,87,5,1000
1552365222,Rain,8,86,5,1000
1552367015,Rain,8,86,5,1000
1552368822,Rain,10,86,5,999
1552370630,Rain,8,86,4,998
1552372718,Rain,7,86,4,999
1552374213,Rain,6,80,4,998
1552376093,Rain,6,86,4,999
1552377818,Rain,6,86,4,999
1552379918,Rain,6,86,4,999
1552381489,Rain,4,86,4,998
1552383514,Rain,5,86,4,998
1552385030,Rain,7,86,4,999
1552387127,Clouds,6,86,5,998
1552388921,Rain,6,80,5,998
1552390430,Rain,6,75,6,998
1552392231,Rain,7,70,7,998
1552394316,Clouds,8,65,7,997
1552396123,Rain,6,81,7,997
1552399716,Rain,9,65,6,996
1552401828,Rain,11,95,7,996
1552403314,Clouds,10,95,7,996
1552405529,Rain,10,95,7,995
1552406930,Rain,11,56,7,995
1552409168,Rain,12,97,7,994
1552410525,Rain,11,65,7,995
1552412625,Clouds,11,70,7,994
1552414116,Clouds,11,70,7,994
1552416225,Rain,12,70,6,994
1552417731,Rain,13,81,6,995
1552419926,Rain,10,81,6,995
1552421315,Rain,11,81,6,995
1552423431,Rain,9,75,6,995
1552425226,Rain,11,75,6,996
1552427315,Rain,11,75,6,996
1552428962,Clouds,11,75,6,996
1552430914,Clouds,12,75,6,996
1552432428,Rain,11,75,6,997
1552434217,Rain,12,75,6,997
1552435715,Rain,13,81,6,998
1552438116,Rain,13,81,6,998
1552439330,Rain,13,81,6,998
1552441723,Rain,12,81,6,999
1552443319,Rain,11,86,5,1000
1552445336,Rain,11,87,6,1001
1552447126,Rain,12,81,6,1001
1552448935,Rain,15,81,6,1001
1552450736,Rain,16,81,6,1001
1552452522,Rain,14,81,6,1002
1552454327,Rain,14,81,6,1003
1552456131,Rain,14,81,6,1003
1552457613,Rain,14,81,6,1004
1552460013,Rain,14,81,6,1004
1552461513,Clouds,15,75,6,1005
1552463314,Rain,16,75,6,1006
1552465130,Rain,15,81,6,1006
1552467216,Rain,12,81,6,1008
1552468729,Rain,12,81,6,1008
1552470833,Rain,14,81,7,1009
1552472330,Rain,13,75,8,1009
1552474430,Clouds,13,70,8,1010
1552475918,Clouds,14,65,9,1010
1552478030,Rain,13,61,9,1011
1552479533,Rain,13,61,9,1011
1552481625,Clouds,13,61,9,1011
1552483420,Rain,14,66,9,1012
1552485512,Rain,12,66,9,1012
1552487032,Rain,12,75,9,1012
1552489118,Rain,13,76,9,1012
1552490620,Rain,13,70,8,1012
1552492714,Rain,13,70,8,1012
1552494227,Rain,13,66,8,1012
1552496313,Rain,10,70,8,1012
1552497817,Rain,8,81,8,1012
1552499924,Rain,6,75,7,1012
1552501113,Rain,6,75,7,1012
1552503658,Rain,8,75,7,1012
1552505012,Clouds,6,81,7,1012
1552507260,Drizzle,6,81,7,1011
1552508622,Drizzle,7,81,7,1010
1552510863,Drizzle,8,87,7,1010
1552512524,Drizzle,8,81,8,1009
1552514472,Drizzle,8,81,8,1008
1552516127,Drizzle,8,81,8,1008
1552518230,Rain,8,81,8,1007
1552519712,Rain,7,87,8,1007
1552521841,Rain,8,87,8,1006
1552523459,Rain,9,87,8,1005
1552525414,Rain,8,87,8,1004
1552527100,Rain,8,87,8,1003
1552529017,Rain,9,93,8,1002
1552530615,Rain,9,87,9,1002
1552532618,Rain,10,87,9,1001
1552534246,Rain,10,93,9,1000
1552536230,Rain,10,93,9,1000
1552537725,Rain,10,93,9,1000
1552539815,Rain,10,87,10,998
1552541461,Rain,10,87,10,998
1552543418,Rain,10,87,10,998
1552544912,Rain,12,93,10,999
1552547037,Rain,13,87,9,1000
1552548815,Rain,12,81,9,1000
1552550613,Rain,11,81,9,1001
1552552422,Rain,13,76,9,1001
1552554228,Rain,10,81,9,1002
1552555982,Rain,8,87,9,1002
1552557858,Clouds,12,76,10,1003
1552559612,Clouds,12,71,10,1003
1552561731,Clouds,14,70,10,1003
1552563218,Rain,10,76,10,1004
1552565012,Rain,11,76,10,1004
1552566832,Rain,14,70,10,1004
1552568924,Clouds,11,71,11,1005
1552570717,Rain,12,66,10,1005
1552572524,Rain,11,66,10,1005
1552574014,Clouds,11,81,10,1005
1552576424,Clouds,11,81,10,1005
1552577622,Clouds,11,61,10,1005
1552580031,Clouds,11,66,10,1005
1552581529,Clouds,10,66,10,1005
1552583320,Clouds,11,61,10,1005
1552585114,Clouds,9,70,9,1006
1552587217,Clouds,9,70,9,1006
1552588721,Rain,9,70,9,1005
1552590513,Rain,10,70,8,1005
1552592334,Rain,6,70,8,1005
1552594113,Rain,4,81,8,1005
1552595912,Rain,3,87,7,1004
1552598016,Rain,4,87,8,1004
1552599523,Rain,3,93,8,1003
1552601826,Rain,3,93,9,1003
1552603424,Rain,3,93,10,1002
1552605450,Rain,5,93,11,1001
1552607103,Rain,6,87,11,1001
1552609121,Rain,8,93,11,1000
1552610744,Rain,9,93,11,1000
1552612526,Rain,10,93,11,1000
1552613915,Rain,11,93,11,1000
1552616173,Rain,11,93,11,1000
1552618003,Rain,11,87,11,999
1552619913,Rain,12,87,11,999
1552621591,Rain,12,93,11,999
1552623393,Drizzle,14,100,11,999
1552625320,Drizzle,13,93,10,1000
1552627123,Drizzle,10,81,10,1000
1552628930,Rain,11,81,9,1001
1552630711,Rain,11,81,9,1001
1552632527,Clouds,10,81,9,1001
1552634311,Drizzle,12,93,8,1002
1552636117,Clouds,10,81,8,1002
1552637928,Drizzle,10,81,8,1003
1552639726,Clouds,9,81,8,1003
1552641820,Clouds,9,76,9,1004
1552643330,Clouds,9,76,9,1004
1552645428,Clouds,11,76,9,1004
1552646935,Rain,11,76,10,1004
1552649024,Rain,11,76,10,1004
1552650770,Rain,12,70,10,1005
1552652620,Clouds,13,66,10,1005
1552654069,Clouds,13,66,10,1005
1552656223,Clouds,14,57,10,1006
1552658020,Rain,14,70,10,1006
1552659833,Rain,13,61,10,1006
1552661325,Rain,10,66,10,1006
1552663424,Rain,12,61,10,1006
1552665219,Rain,12,61,9,1006
1552667020,Rain,12,57,9,1006
1552668835,Rain,10,57,9,1007
1552670928,Clouds,7,61,9,1007
1552671974,Clouds,5,61,8,1007
1552673766,Rain,6,65,8,1007
1552675598,Rain,6,65,8,1007
1552677411,Rain,3,65,7,1007
1552679214,Rain,3,75,7,1007
1552681869,Rain,3,75,7,1007
1552682791,Rain,4,81,7,1007
1552685465,Rain,3,87,6,1006
1552686820,Rain,3,87,6,1006
1552689057,Rain,3,87,5,1005
1552690835,Rain,2,93,5,1004
1552692532,Rain,3,93,5,1003
1552694318,Rain,3,93,5,1003
1552696273,Rain,5,100,5,1002
1552697616,Rain,6,100,6,1000
1552700019,Rain,5,93,9,999
1552701684,Rain,3,100,9,998
1552703621,Rain,2,93,10,997
1552705122,Rain,6,93,10,996
1552707230,Rain,7,87,11,995
1552708716,Rain,7,87,11,995
1552710816,Rain,7,87,11,994
1552712324,Rain,7,87,11,994
1552714425,Rain,9,87,11,992
1552716095,Rain,9,87,11,992
1552717923,Rain,9,87,10,991
1552719822,Rain,9,93,10,991
1552721636,Rain,9,93,10,990
1552723302,Rain,10,93,10,989
1552725220,Rain,10,87,11,989
1552727019,Rain,10,87,11,988
1552729131,Rain,10,87,11,988
1552730629,Rain,10,87,11,988
1552732729,Rain,9,87,11,988
1552734228,Rain,10,87,11,987
1552736316,Rain,10,87,11,987
1552737816,Rain,9,93,11,987
1552739914,Rain,8,87,11,987
1552741724,Rain,8,81,10,987
1552743235,Rain,8,81,10,986
1552745032,Rain,9,81,9,987
1552747113,Rain,12,87,8,988
1552748913,Rain,13,81,7,988
1552750431,Clouds,13,81,7,989
1552752225,Clouds,11,75,7,990
1552754325,Clouds,9,75,6,991
1552755822,Rain,8,75,6,991
1552757935,Rain,9,81,6,992
1552759723,Rain,9,81,6,992
1552761821,Rain,8,80,5,992
1552763029,Clouds,8,86,5,993
1552765117,Clouds,7,80,4,994
1552767170,Rain,7,86,4,994
1552769027,Rain,6,86,3,994
1552770515,Rain,6,86,3,995
1552772770,Clouds,7,86,3,996
1552774420,Clouds,7,86,3,996
1552776382,Clouds,7,86,3,996
1552777716,Clouds,7,86,3,997
1552779968,Clouds,7,86,3,997
1552781327,Clouds,8,93,2,997
1552783573,Rain,7,93,2,998
1552785392,Clouds,8,100,2,998
1552787289,Clouds,6,100,2,998
1552788830,Clouds,8,100,2,998
1552790780,Rain,7,100,2,999
1552792588,Rain,6,100,2,999
1552794521,Clouds,6,100,1,999
1552796205,Clouds,6,100,1,999
1552798129,Clouds,8,100,1,1000
1552799769,Clouds,7,86,1,1000
1552801728,Clouds,6,86,1,1000
1552803366,Rain,7,86,1,1001
1552805332,Rain,6,86,1,1001
1552807126,Rain,6,86,1,1002
1552808772,Rain,6,86,2,1002
1552810721,Clouds,5,100,2,1002
1552812525,Clouds,6,100,3,1003
1552814323,Clouds,6,100,4,1003
1552816118,Clouds,7,86,5,1003
1552817915,Clouds,7,75,5,1003
1552819722,Clouds,8,80,5,1004
1552821516,Rain,11,80,5,1004
1552823631,Rain,11,80,6,1004
1552825126,Rain,12,81,7,1004
1552826913,Clouds,10,75,8,1005
1552828715,Clouds,12,70,9,1005
1552830819,Clouds,10,70,9,1006
1552832331,Clouds,10,70,9,1006
1552834418,Clouds,9,66,10,1007
1552836224,Clouds,11,57,11,1008
1552838020,Rain,11,57,10,1008
1552839815,Rain,12,61,10,1009
1552841624,Rain,10,61,9,1010
1552843424,Rain,10,65,8,1011
1552845221,Rain,10,65,8,1011
1552847017,Clouds,8,75,8,1012
1552849132,Clouds,5,75,7,1013
1552850637,Rain,7,70,7,1014
1552852724,Rain,8,75,6,1014
1552854224,Clouds,7,75,5,1015
1552856017,Clouds,7,75,5,1016
1552857887,Clouds,7,80,5,1016
1552860043,Clouds,8,80,5,1016
1552861721,Clouds,8,80,5,1016
1552863532,Clouds,6,86,5,1017
1552865027,Clouds,6,86,5,1017
1552867230,Clouds,7,86,4,1017
1552868922,Clouds,7,86,4,1018
1552870721,Clouds,7,86,4,1018
1552872523,Clouds,7,86,4,1018
1552874523,Clouds,7,80,5,1018
1552876120,Clouds,5,86,5,1018
1552877933,Clouds,4,86,5,1018
1552879871,Rain,6,86,5,1018
1552881649,Rain,6,86,5,1018
1552883327,Rain,6,86,5,1018
1552885424,Rain,4,86,5,1018
1552886923,Rain,4,86,5,1018
1552889018,Rain,5,93,5,1018
1552890686,Rain,4,93,5,1018
1552892628,Rain,4,93,5,1018
1552894117,Rain,5,93,5,1018
1552896221,Rain,5,93,5,1018
1552898034,Drizzle,4,87,6,1018
1552899831,Clouds,4,93,6,1018
1552901625,Drizzle,6,87,7,1018
1552903429,Drizzle,6,87,7,1018
1552905230,Clouds,6,93,8,1018
1552907028,Clouds,7,87,8,1018
1552908832,Drizzle,8,87,9,1018
1552910915,Drizzle,8,81,9,1018
1552912416,Drizzle,7,87,9,1019
1552914528,Clouds,7,81,9,1019
1552916016,Clouds,8,87,9,1019
1552918117,Clouds,8,76,10,1019
1552919933,Clouds,7,81,10,1019
1552921719,Clouds,8,81,10,1019
1552925318,Drizzle,8,81,10,1019
1552928924,Clouds,7,81,10,1020
1552932514,Clouds,8,81,9,1021
1552936126,Clouds,7,87,9,1021
1552939730,Drizzle,4,87,9,1022
1552943616,Clouds,5,87,9,1022
1552947223,Drizzle,5,93,9,1023
1552950515,Rain,5,100,8,1023
1552954587,Drizzle,6,100,8,1024
1552958194,Drizzle,5,93,8,1023
1552961812,Clouds,4,93,7,1023
1552965519,Clouds,3,93,7,1024
1552968817,Clouds,4,93,7,1023
1552972737,Clouds,4,87,7,1024
1552976329,Clouds,4,93,6,1023
1552979917,Drizzle,3,87,7,1024
1552983365,Rain,4,93,7,1024
1552987134,Drizzle,3,93,8,1024
1552990731,Drizzle,3,93,9,1024
1552994318,Clouds,5,93,10,1024
1552997915,Clouds,6,87,11,1024
1553001519,Clouds,5,81,12,1023
1553005431,Clouds,5,87,13,1024
1553009026,Clouds,6,81,13,1023
1553012615,Clouds,6,81,13,1024
1553016222,Clouds,4,71,13,1024
1553019828,Clouds,3,71,12,1025
1553023421,Clouds,6,81,10,1026
1553027036,Clouds,5,81,10,1026
1553030915,Clouds,4,81,10,1026
1553034537,Clouds,4,81,10,1027
1553038129,Clouds,4,87,10,1027
1553041716,Clouds,6,87,10,1028
1553045426,Clouds,5,93,8,1028
1553048927,Clouds,5,93,8,1028
1553052521,Clouds,4,93,9,1028
1553056121,Clouds,4,93,8,1028
1553059911,Clouds,4,100,8,1028
1553063318,Clouds,4,100,8,1028
1553067016,Clouds,3,93,8,1028
1553070679,Clouds,1,93,9,1029
1553074428,Clouds,3,81,12,1029
1553078015,Clouds,3,76,13,1029
1553081625,Clouds,4,76,15,1029
1553085230,Clouds,5,72,16,1029
1553088814,Clouds,4,67,16,1029
1553092428,Clouds,6,72,15,1028
1553096022,Clouds,5,72,15,1028
1553099914,Clouds,4,72,15,1027
1553103526,Rain,4,77,14,1028
1553107134,Rain,3,93,13,1028
1553110721,Clouds,3,93,13,1028
1553114027,Clouds,3,87,13,1028
1553117932,Rain,3,87,13,1029
1553121527,Clouds,5,81,12,1029
1553125121,Clouds,4,87,11,1029
1553128427,Clouds,3,76,11,1029
1553132315,Clouds,4,76,11,1029
1553136215,Clouds,4,76,11,1029
1553139953,Clouds,4,81,11,1029
1553143558,Clouds,4,81,11,1029
1553147020,Drizzle,3,93,10,1030
1553150805,Clouds,5,87,10,1030
1553154355,Drizzle,4,81,10,1031
1553157814,Clouds,3,81,11,1031
1553161576,Clouds,4,81,11,1032
1553165313,Drizzle,4,71,12,1032
1553168931,Clouds,3,76,13,1032
1553172519,Clouds,3,76,13,1031
1553176118,Clouds,4,71,13,1031
1553179714,Clouds,3,71,14,1030
1553183318,Clouds,4,71,13,1030
1553186917,Clouds,3,76,13,1029
1553190832,Clouds,3,76,12,1028
1553194417,Clouds,3,87,11,1028
1553197732,Clouds,2,81,10,1027
1553201620,Clouds,4,87,10,1027
1553205217,Clouds,4,81,10,1027
1553208527,Clouds,5,81,10,1026
1553212417,Clouds,4,76,10,1025
1553216028,Clouds,5,76,10,1025
1553219619,Clouds,7,76,10,1024
1553223520,Clouds,6,76,11,1023
1553227115,Clouds,5,81,10,1022
1553230716,Clouds,7,76,10,1021
1553234313,Clouds,6,76,10,1021
1553237917,Clouds,7,71,10,1021
1553241643,Clouds,4,76,10,1021
1553245282,Clouds,7,76,10,1020
1553248719,Clouds,9,76,11,1020
1553252440,Clouds,7,76,11,1020
1553256216,Rain,6,76,11,1020
1553259832,Rain,7,81,11,1020
1553263224,Rain,5,87,10,1021
1553267030,Rain,6,87,9,1022
1553270630,Clouds,5,81,10,1022
1553274223,Clouds,4,71,10,1023
1553277836,Clouds,9,61,9,1024
1553281414,Clouds,6,61,8,1025
1553285025,Clouds,5,65,7,1026
1553288636,Clouds,5,70,6,1027
1553292217,Clouds,4,75,5,1028
1553296130,Clouds,5,70,6,1028
1553299730,Clouds,6,75,5,1029
1553303033,Clouds,6,80,5,1029
1553306914,Clouds,5,80,5,1030
1553310522,Clouds,5,80,4,1030
1553314122,Clouds,3,80,4,1031
1553317736,Clouds,3,86,3,1031
1553321613,Clouds,2,100,3,1032
1553325215,Clouds,2,100,2,1032
1553328813,Clear,3,86,3,1033
1553332415,Clear,3,80,4,1034
1553336035,Clear,4,75,6,1034
1553339619,Clouds,3,70,7,1034
1553343333,Clouds,4,65,9,1034
1553346951,Clouds,3,61,9,1034
1553350538,Clouds,3,52,9,1034
1553354151,Clouds,1,49,9,1034
1553357913,Clouds,3,95,9,1034
1553361530,Clouds,2,96,8,1033
1553364983,Clouds,3,61,8,1034
1553368571,Clouds,3,65,7,1034
1553372192,Clear,3,65,6,1034
1553376229,Clouds,1,70,6,1034
1553379813,Clouds,2,70,5,1034
1553383423,Clouds,2,70,5,1033
1553386729,Clouds,2,100,4,1033
1553390620,Clouds,2,75,5,1033
1553393926,Clouds,2,75,4,1033
1553397825,Clouds,3,80,3,1032
1553401422,Clouds,3,86,2,1032
1553405029,Clouds,3,86,3,1032
1553408636,Clouds,4,100,2,1032
1553412518,Clouds,5,100,4,1032
1553415829,Clouds,5,80,5,1032
1553419722,Clouds,6,75,7,1032
1553423033,Clouds,8,70,8,1032
1553427050,Clouds,8,66,9,1031
1553430816,Clouds,9,61,10,1031
1553434430,Clouds,11,61,10,1031
1553438030,Clouds,10,66,10,1030
1553441617,Clouds,12,66,10,1030
1553445232,Rain,12,66,10,1030
1553448819,Rain,10,61,10,1030
1553452416,Clouds,9,66,9,1030
1553455972,Clouds,7,66,9,1031
1553459614,Clouds,8,65,8,1031
1553463522,Clouds,7,65,8,1032
1553466827,Clouds,8,70,7,1032
1553470429,Clouds,7,75,7,1032
1553474091,Clouds,7,75,7,1032
1553477613,Clouds,6,81,6,1032
1553481519,Clouds,4,86,6,1033
1553485133,Clouds,4,86,6,1033
1553488729,Clouds,4,86,5,1033
1553492576,Clouds,5,93,5,1034
1553495916,Clouds,4,93,5,1034
